# UDIS-D Dataset Pairs
# Format: img1_path,img2_path,label_path

data/raw/dataset/UDIS-D/testing/input1/000002.jpg,data/raw/dataset/UDIS-D/testing/input2/000001.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000003.jpg,data/raw/dataset/UDIS-D/testing/input2/000002.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000004.jpg,data/raw/dataset/UDIS-D/testing/input2/000003.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000005.jpg,data/raw/dataset/UDIS-D/testing/input2/000004.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000006.jpg,data/raw/dataset/UDIS-D/testing/input2/000005.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000007.jpg,data/raw/dataset/UDIS-D/testing/input2/000006.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000008.jpg,data/raw/dataset/UDIS-D/testing/input2/000007.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000009.jpg,data/raw/dataset/UDIS-D/testing/input2/000008.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000010.jpg,data/raw/dataset/UDIS-D/testing/input2/000009.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000011.jpg,data/raw/dataset/UDIS-D/testing/input2/000010.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000012.jpg,data/raw/dataset/UDIS-D/testing/input2/000011.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000013.jpg,data/raw/dataset/UDIS-D/testing/input2/000012.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000014.jpg,data/raw/dataset/UDIS-D/testing/input2/000013.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000015.jpg,data/raw/dataset/UDIS-D/testing/input2/000014.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000016.jpg,data/raw/dataset/UDIS-D/testing/input2/000015.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000017.jpg,data/raw/dataset/UDIS-D/testing/input2/000016.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000018.jpg,data/raw/dataset/UDIS-D/testing/input2/000017.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000019.jpg,data/raw/dataset/UDIS-D/testing/input2/000018.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000020.jpg,data/raw/dataset/UDIS-D/testing/input2/000019.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000021.jpg,data/raw/dataset/UDIS-D/testing/input2/000020.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000022.jpg,data/raw/dataset/UDIS-D/testing/input2/000021.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000023.jpg,data/raw/dataset/UDIS-D/testing/input2/000022.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000024.jpg,data/raw/dataset/UDIS-D/testing/input2/000023.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000025.jpg,data/raw/dataset/UDIS-D/testing/input2/000024.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000026.jpg,data/raw/dataset/UDIS-D/testing/input2/000025.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000027.jpg,data/raw/dataset/UDIS-D/testing/input2/000026.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000028.jpg,data/raw/dataset/UDIS-D/testing/input2/000027.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000029.jpg,data/raw/dataset/UDIS-D/testing/input2/000028.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000030.jpg,data/raw/dataset/UDIS-D/testing/input2/000029.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000031.jpg,data/raw/dataset/UDIS-D/testing/input2/000030.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000032.jpg,data/raw/dataset/UDIS-D/testing/input2/000031.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000033.jpg,data/raw/dataset/UDIS-D/testing/input2/000032.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000034.jpg,data/raw/dataset/UDIS-D/testing/input2/000033.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000035.jpg,data/raw/dataset/UDIS-D/testing/input2/000034.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000036.jpg,data/raw/dataset/UDIS-D/testing/input2/000035.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000037.jpg,data/raw/dataset/UDIS-D/testing/input2/000036.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000038.jpg,data/raw/dataset/UDIS-D/testing/input2/000037.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000039.jpg,data/raw/dataset/UDIS-D/testing/input2/000038.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000040.jpg,data/raw/dataset/UDIS-D/testing/input2/000039.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000041.jpg,data/raw/dataset/UDIS-D/testing/input2/000040.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000042.jpg,data/raw/dataset/UDIS-D/testing/input2/000041.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000043.jpg,data/raw/dataset/UDIS-D/testing/input2/000042.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000044.jpg,data/raw/dataset/UDIS-D/testing/input2/000043.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000045.jpg,data/raw/dataset/UDIS-D/testing/input2/000044.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000046.jpg,data/raw/dataset/UDIS-D/testing/input2/000045.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000047.jpg,data/raw/dataset/UDIS-D/testing/input2/000046.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000048.jpg,data/raw/dataset/UDIS-D/testing/input2/000047.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000049.jpg,data/raw/dataset/UDIS-D/testing/input2/000048.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000050.jpg,data/raw/dataset/UDIS-D/testing/input2/000049.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000051.jpg,data/raw/dataset/UDIS-D/testing/input2/000050.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000052.jpg,data/raw/dataset/UDIS-D/testing/input2/000051.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000053.jpg,data/raw/dataset/UDIS-D/testing/input2/000052.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000054.jpg,data/raw/dataset/UDIS-D/testing/input2/000053.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000055.jpg,data/raw/dataset/UDIS-D/testing/input2/000054.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000056.jpg,data/raw/dataset/UDIS-D/testing/input2/000055.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000057.jpg,data/raw/dataset/UDIS-D/testing/input2/000056.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000058.jpg,data/raw/dataset/UDIS-D/testing/input2/000057.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000059.jpg,data/raw/dataset/UDIS-D/testing/input2/000058.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000060.jpg,data/raw/dataset/UDIS-D/testing/input2/000059.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000061.jpg,data/raw/dataset/UDIS-D/testing/input2/000060.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000062.jpg,data/raw/dataset/UDIS-D/testing/input2/000061.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000063.jpg,data/raw/dataset/UDIS-D/testing/input2/000062.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000064.jpg,data/raw/dataset/UDIS-D/testing/input2/000063.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000065.jpg,data/raw/dataset/UDIS-D/testing/input2/000064.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000066.jpg,data/raw/dataset/UDIS-D/testing/input2/000065.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000067.jpg,data/raw/dataset/UDIS-D/testing/input2/000066.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000068.jpg,data/raw/dataset/UDIS-D/testing/input2/000067.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000069.jpg,data/raw/dataset/UDIS-D/testing/input2/000068.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000070.jpg,data/raw/dataset/UDIS-D/testing/input2/000069.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000071.jpg,data/raw/dataset/UDIS-D/testing/input2/000070.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000072.jpg,data/raw/dataset/UDIS-D/testing/input2/000071.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000073.jpg,data/raw/dataset/UDIS-D/testing/input2/000072.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000074.jpg,data/raw/dataset/UDIS-D/testing/input2/000073.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000075.jpg,data/raw/dataset/UDIS-D/testing/input2/000074.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000076.jpg,data/raw/dataset/UDIS-D/testing/input2/000075.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000077.jpg,data/raw/dataset/UDIS-D/testing/input2/000076.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000078.jpg,data/raw/dataset/UDIS-D/testing/input2/000077.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000079.jpg,data/raw/dataset/UDIS-D/testing/input2/000078.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000080.jpg,data/raw/dataset/UDIS-D/testing/input2/000079.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000081.jpg,data/raw/dataset/UDIS-D/testing/input2/000080.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000082.jpg,data/raw/dataset/UDIS-D/testing/input2/000081.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000083.jpg,data/raw/dataset/UDIS-D/testing/input2/000082.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000084.jpg,data/raw/dataset/UDIS-D/testing/input2/000083.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000085.jpg,data/raw/dataset/UDIS-D/testing/input2/000084.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000086.jpg,data/raw/dataset/UDIS-D/testing/input2/000085.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000087.jpg,data/raw/dataset/UDIS-D/testing/input2/000086.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000088.jpg,data/raw/dataset/UDIS-D/testing/input2/000087.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000089.jpg,data/raw/dataset/UDIS-D/testing/input2/000088.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000090.jpg,data/raw/dataset/UDIS-D/testing/input2/000089.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000091.jpg,data/raw/dataset/UDIS-D/testing/input2/000090.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000092.jpg,data/raw/dataset/UDIS-D/testing/input2/000091.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000093.jpg,data/raw/dataset/UDIS-D/testing/input2/000092.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000094.jpg,data/raw/dataset/UDIS-D/testing/input2/000093.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000095.jpg,data/raw/dataset/UDIS-D/testing/input2/000094.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000096.jpg,data/raw/dataset/UDIS-D/testing/input2/000095.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000097.jpg,data/raw/dataset/UDIS-D/testing/input2/000096.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000098.jpg,data/raw/dataset/UDIS-D/testing/input2/000097.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000099.jpg,data/raw/dataset/UDIS-D/testing/input2/000098.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000100.jpg,data/raw/dataset/UDIS-D/testing/input2/000099.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000101.jpg,data/raw/dataset/UDIS-D/testing/input2/000100.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000102.jpg,data/raw/dataset/UDIS-D/testing/input2/000101.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000103.jpg,data/raw/dataset/UDIS-D/testing/input2/000102.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000104.jpg,data/raw/dataset/UDIS-D/testing/input2/000103.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000105.jpg,data/raw/dataset/UDIS-D/testing/input2/000104.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000106.jpg,data/raw/dataset/UDIS-D/testing/input2/000105.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000107.jpg,data/raw/dataset/UDIS-D/testing/input2/000106.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000108.jpg,data/raw/dataset/UDIS-D/testing/input2/000107.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000109.jpg,data/raw/dataset/UDIS-D/testing/input2/000108.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000110.jpg,data/raw/dataset/UDIS-D/testing/input2/000109.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000111.jpg,data/raw/dataset/UDIS-D/testing/input2/000110.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000112.jpg,data/raw/dataset/UDIS-D/testing/input2/000111.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000113.jpg,data/raw/dataset/UDIS-D/testing/input2/000112.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000114.jpg,data/raw/dataset/UDIS-D/testing/input2/000113.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000115.jpg,data/raw/dataset/UDIS-D/testing/input2/000114.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000116.jpg,data/raw/dataset/UDIS-D/testing/input2/000115.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000117.jpg,data/raw/dataset/UDIS-D/testing/input2/000116.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000118.jpg,data/raw/dataset/UDIS-D/testing/input2/000117.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000119.jpg,data/raw/dataset/UDIS-D/testing/input2/000118.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000120.jpg,data/raw/dataset/UDIS-D/testing/input2/000119.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000121.jpg,data/raw/dataset/UDIS-D/testing/input2/000120.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000122.jpg,data/raw/dataset/UDIS-D/testing/input2/000121.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000123.jpg,data/raw/dataset/UDIS-D/testing/input2/000122.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000124.jpg,data/raw/dataset/UDIS-D/testing/input2/000123.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000125.jpg,data/raw/dataset/UDIS-D/testing/input2/000124.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000126.jpg,data/raw/dataset/UDIS-D/testing/input2/000125.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000127.jpg,data/raw/dataset/UDIS-D/testing/input2/000126.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000128.jpg,data/raw/dataset/UDIS-D/testing/input2/000127.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000129.jpg,data/raw/dataset/UDIS-D/testing/input2/000128.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000130.jpg,data/raw/dataset/UDIS-D/testing/input2/000129.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000131.jpg,data/raw/dataset/UDIS-D/testing/input2/000130.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000132.jpg,data/raw/dataset/UDIS-D/testing/input2/000131.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000133.jpg,data/raw/dataset/UDIS-D/testing/input2/000132.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000134.jpg,data/raw/dataset/UDIS-D/testing/input2/000133.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000135.jpg,data/raw/dataset/UDIS-D/testing/input2/000134.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000136.jpg,data/raw/dataset/UDIS-D/testing/input2/000135.jpg,None
data/raw/dataset/UDIS-D/testing/input1/000137.jpg,data/raw/dataset/UDIS-D/testing/input2/000136.jpg,None
